icao24;callsign;baro_altitude;heading;last_contact;latitude;longitude;on_ground;origin_country;squawk;time_position;velocity;vertical_rate
4952c7;TAP437K;1432.56;235.65;1583150740;48.6987;2.2624;False;Portugal;7647;1583150739;86.61;11.7
393323;AFR89BE;;171.56;1583150437;48.7311;2.3598;True;France;1000;1583150435;0.26;
ab5d52;DAL65;10363.2;320.04;1583150740;49.3716;3.3476;False;United States;2770;1583150739;240.29;0
344417;IBE32PG;11582.4;33.69;1583150740;49.5342;2.3638;False;Spain;2322;1583150740;248.55;0
47a039;NAX91H;10363.2;37.35;1583150740;49.1833;1.8055;False;Norway;5531;1583150740;245.91;0
a2d580;AAL719;10363.2;335.39;1583150740;48.3247;3.499;False;United States;4052;1583150740;249.54;0
49410b;NJE592P;10668;188.34;1583150740;48.1749;2.6727;False;Portugal;7114;1583150739;202.26;0
44b430;OOMAP;9464.04;141.85;1583150739;49.3531;1.5702;False;Belgium;2211;1583150739;207.37;-0.33
440095;EJU73XL;571.5;266.61;1583150739;48.9982;2.6658;False;Austria;1000;1583150739;60.81;-3.25
44002e;FSE1B;12192;326.31;1583150740;48.2907;3.831;False;Austria;5755;1583150740;244.84;0.33
484442;KLM15P;3032.76;209.07;1583150740;49.279;3.3307;False;Kingdom of the Netherlands;1000;1583150740;141.86;-4.23
3991e3;AFR37PH;3337.56;265.07;1583150739;48.9703;2.0985;False;France;7637;1583150739;161.62;6.18
3991e1;AFR68NR;10157.46;76.14;1583150740;49.3058;4.4326;False;France;1000;1583150740;240.56;13
3991e7;AFR158Z;3124.2;96.49;1583150740;49.2553;2.5104;False;France;7637;1583150740;168.27;-4.88
3991e9;AFR1744;2827.02;347.21;1583150740;49.0204;2.2685;False;France;0642;1583150739;137.16;9.1
4006eb;EXS53F;3352.8;93.97;1583150740;49.2752;2.1126;False;United Kingdom;7572;1583150740;170.69;0
4951d3;TAP756;10972.8;38.2;1583150740;48.5795;0.7323;False;Portugal;2352;1583150739;242.88;0
3944e4;AFR32FU;3368.04;278.16;1583150739;48.6479;2;False;France;1000;1583150739;155.91;4.88
3944ee;AFR113M;3924.3;319.18;1583150739;48.4548;3.8419;False;France;1000;1583150739;179.45;-13.98
392af1;AFR41HW;6987.54;26.16;1583150739;48.1837;1.2185;False;France;1000;1583150739;225.24;-14.31
020108;MAC112N;10668;205.14;1583150740;49.0844;2.7986;False;Morocco;7105;1583150739;222.77;0
490d07;NJE996Q;12192;323.9;1583150740;48.6936;2.9895;False;Portugal;6754;1583150740;237.49;-0.33
4ca99c;AZA226;11582.4;302.36;1583150740;48.3641;4.7421;False;Ireland;7522;1583150739;221.07;0.33
44ce6b;BEL42B;10370.82;11.52;1583150740;47.9792;1.1498;False;Belgium;1000;1583150740;244.66;0
896329;ETD47K;7985.76;259.72;1583150740;49.6262;5.0778;False;United Arab Emirates;3223;1583150739;178.81;-9.1
394e88;;;253.12;1583150739;48.7278;2.3764;True;France;;1583150735;0.51;
4ca8d4;RYR73GJ;11277.6;192.85;1583150740;48.0468;2.1886;False;Ireland;3521;1583150739;222.14;0
399e61;FHHTB;624.84;288.76;1583150739;48.8346;2.1376;False;France;4217;1583150739;57.59;-0.33
3c0c0c;AHO635V;5791.2;98.97;1583150740;49.0987;3.434;False;Germany;0645;1583150740;214.57;1.3
02a196;TAR716;1211.58;337.11;1583150740;48.7163;2.8017;False;Tunisia;1000;1583150740;125.64;-4.88
40655b;EXS1310;11567.16;314.43;1583150740;49.1203;3.5429;False;United Kingdom;7520;1583150740;217.54;0
