Code;Libellé;Population municipale 2016;Boulangerie 2017
25316;Issans;241;0
25317;Jallerange;254;0
25318;Jougne;1839;2
25320;Labergement-Sainte-Marie;1176;1
25321;Villers-le-Lac;4889;3
25322;Laire;401;0
25323;Laissey;440;0
25324;Lanans;167;0
25325;Landresse;233;0
25326;Lantenne-Vertière;535;1
25327;Lanthenans;67;0
25328;Larnod;772;1
25329;Laval-le-Prieuré;34;0
25330;Lavans-Quingey;200;0
25331;Lavans-Vuillafans;233;0
25332;Lavernay;575;0
25333;Laviron;334;0
25334;Levier;2169;3
25335;Liebvillers;170;0
25336;Liesle;521;0
25338;Lizine;87;0
25339;Lods;221;1
25340;Lombard;190;0
25341;Lomont-sur-Crête;167;0
25342;Longechaux;77;0
25343;Longemaison;153;0
25344;Longevelle-lès-Russey;44;0
25345;Longevelle-sur-Doubs;690;1
25346;Longeville;171;0
25347;La Longeville;797;1
25348;Longevilles-Mont-d'Or;566;0
25349;Loray;498;0
25350;Lougres;779;0
25351;Le Luhier;217;0
25354;Luxiol;161;0
25355;Magny-Châtelard;60;0
25356;Maîche;4296;6
25357;Maisons-du-Bois-Lièvremont;788;0
25359;Malans;180;0
25360;Malbrans;152;0
25361;Malbuisson;860;2
25362;Malpas;279;0
25364;Mamirolle;1773;2
25365;Mancenans;312;0
25366;Mancenans-Lizerne;191;0
25367;Mandeure;4833;3
25368;Marchaux-Chaudefontaine;1463;1
25369;Marvelise;164;0
25370;Mathay;2166;2
25371;Mazerolles-le-Salin;203;0
25372;Médière;291;0
25373;Le Mémont;41;0
25374;Mercey-le-Grand;538;0
25375;Mérey-sous-Montrond;424;1
25376;Mérey-Vieilley;145;0
25377;Mésandans;219;0
25378;Meslières;372;0
25379;Mesmay;72;0
25380;Métabief;1184;0
25381;Miserey-Salines;2442;1
25382;Moncey;563;0
25383;Moncley;286;1
25384;Mondon;95;0
25385;Montagney-Servigney;129;0
25386;Montancy;148;0
25387;Montandon;408;0
25388;Montbéliard;25304;20
25389;Montbéliardot;114;0
25390;Montbenoît;395;1
25391;Mont-de-Laval;175;0
25392;Mont-de-Vougney;181;0
25393;Montécheroux;569;0
25394;Montenois;1510;1
25395;Montfaucon;1527;1
25397;Montferrand-le-Château;2108;2
25398;Montflovin;104;0
25400;Montgesoye;472;0
25401;Montivernage;29;0
25402;Montjoie-le-Château;28;0
25403;Montlebon;2052;1
25404;Montmahoux;94;0
25405;Montperreux;847;0
25406;Montrond-le-Château;562;0
25408;Montussaint;59;0
25410;Morre;1354;1
25411;Morteau;6970;4
25413;Mouthe;1083;0
25414;Le Moutherot;129;0
25415;Mouthier-Haute-Pierre;328;1
25416;Myon;187;0
25417;Naisey-les-Granges;798;0
25418;Nancray;1259;1
25419;Nans;102;0
25420;Nans-sous-Sainte-Anne;147;0
25421;Narbief;66;0
25422;Neuchâtel-Urtière;194;0
25424;Les Premiers Sapins;1561;0
25425;Noël-Cerneux;421;0
25426;Noirefontaine;377;1
25427;Noironte;383;1
25428;Nommay;1655;1
25429;Novillars;1508;2
25430;Ollans;38;0
25431;Onans;356;0
25432;Orchamps-Vennes;2134;2
25433;Orgeans-Blanchefontaine;47;0
25434;Ornans;4385;3
25435;Orsans;164;0
25436;Orve;64;0
25437;Osse;326;0
25438;Osselle-Routelle;952;0
25439;Ougney-Douvot;249;0
25440;Ouhans;375;0
25441;Ouvans;62;0
25442;Oye-et-Pallet;731;1
25443;Palantine;67;0
25444;Palise;141;0
25445;Paroy;124;0
25446;Passavant;230;0
25447;Passonfontaine;323;0
25448;Pelousey;1511;1
25449;Péseux;120;0
25450;Pessans;87;0
25451;Petite-Chaux;145;0
25452;Pierrefontaine-lès-Blamont;462;0
25453;Pierrefontaine-les-Varans;1414;2
25454;Pirey;2049;2
25455;Placey;198;0
25456;Plaimbois-du-Miroir;235;0
25457;Plaimbois-Vennes;102;0
25458;Les Plains-et-Grands-Essarts;222;0
25459;La Planée;279;0
25460;Le Val;241;0
25461;Pompierre-sur-Doubs;307;0
25462;Pontarlier;17284;21
25463;Pont-de-Roide-Vermondans;4200;4
25464;Les Pontets;139;0
25465;Pont-les-Moulins;187;0
25466;Pouilley-Français;832;0
25467;Pouilley-les-Vignes;1967;1
25468;Pouligney-Lusans;848;1
25469;Présentevillers;453;0
25470;La Prétière;159;0
25471;Provenchère;134;0
25472;Puessans;31;0
25473;Pugey;748;0
25474;Le Puy;111;0
25475;Quingey;1425;1
25476;Rahon;128;0
25477;Rancenay;322;0
25478;Randevillers;118;0
25479;Rang;421;0
25481;Raynans;339;0
25482;Recologne;650;1
25483;Reculfoz;41;0
25485;Rémondans-Vaivre;235;0
25486;Remoray-Boujeons;429;0
25487;Renédale;40;0
25488;Rennes-sur-Loue;99;0
25489;Reugney;316;0
25490;Rigney;398;0
25491;Rignosot;117;0
25492;Rillans;93;0
25493;La Rivière-Drugeon;893;0
25494;Rochejean;676;1
25495;Roche-lez-Beaupré;2082;2
25496;Roche-lès-Clerval;120;0
25497;Roches-lès-Blamont;640;0
25498;Rognon;49;0
25499;Romain;130;0
25500;Ronchaux;88;0
25501;Rondefontaine;32;0
25502;Roset-Fluans;514;0
25503;Rosières-sur-Barbèche;124;0
25504;Rosureux;78;0
25505;Rougemont;1168;1
25506;Rougemontot;94;0
25507;Rouhe;82;0
25508;Roulans;1123;1
25510;Ruffey-le-Château;360;0
25511;Rurey;336;0
25512;Le Russey;2298;2
25513;Sainte-Anne;39;0
25514;Saint-Antoine;339;0
25515;Sainte-Colombe;394;0
25516;Saint-Georges-Armont;119;0
25517;Saint-Gorgon-Main;283;0
25518;Saint-Hilaire;162;0
25519;Saint-Hippolyte;904;3
25520;Saint-Juan;171;0
25521;Saint-Julien-lès-Montbéliard;166;0
25522;Saint-Julien-lès-Russey;171;0
25523;Sainte-Marie;695;0
25524;Saint-Maurice-Colombier;907;0
25525;Saint-Point-Lac;281;0
25526;Sainte-Suzanne;1533;1
25527;Saint-Vit;4854;3
25528;Samson;92;1
25529;Sancey;1322;3
25532;Saône;3361;2
25533;Saraz;12;0
25534;Sarrageois;193;0
25535;Saules;225;0
25536;Sauvagney;185;0
25537;Scey-Maisières;295;0
25538;Séchin;118;0
25539;Seloncourt;5823;3
25540;Semondans;300;0
25541;Septfontaines;367;0
25542;Serre-les-Sapins;1577;0
25544;Servin;201;0
25545;Silley-Amancey;136;0
25546;Silley-Bléfond;53;0
25547;Sochaux;4015;3
25548;Solemont;158;0
25549;Sombacour;632;1
25550;La Sommette;235;0
25551;Soulce-Cernay;122;0
25552;Sourans;119;0
25553;Soye;385;0
25554;Surmont;124;0
25555;Taillecourt;1108;1
25556;Tallans;49;0
25557;Tallenay;409;0
25558;Tarcenay-Foucherans;1487;1
25559;Thiébouhans;254;0
25560;Thise;3069;2
25561;Thoraise;358;0
25562;Thulay;219;0
25563;Thurey-le-Mont;129;0
25564;Torpes;1041;1
25565;Touillon-et-Loutelet;257;0
25566;La Tour-de-Sçay;296;0
25567;Tournans;132;0
25569;Trépot;530;0
25570;Tressandans;24;0
25571;Trévillers;483;0
25572;Trouvans;104;0
25573;Urtière;8;0
25574;Uzelle;171;0
25575;Vaire;801;0
25578;Valdahon;5605;5
25579;Val-de-Roulans;192;0
25580;Valentigney;10381;6
25582;Valleroy;163;0
25583;Valonne;248;0
25584;Valoreille;129;0
25586;Vandoncourt;837;0
25588;Vaucluse;120;0
25589;Vauclusotte;91;0
25590;Vaudrivillers;90;0
25591;Vaufrey;159;0
25592;Vaux-et-Chantegrue;565;0
25594;Velesmes-Essarts;343;0
25595;Vellerot-lès-Belvoir;98;0
25596;Vellerot-lès-Vercel;65;0
25597;Vellevans;226;0
25598;Venise;509;1
25599;Vennans;261;0
25600;Vennes;169;0
25601;Vercel-Villedieu-le-Camp;1566;1
25602;Vergranne;109;0
25604;Verne;129;0
25605;Vernierfontaine;464;0
25607;Vernois-lès-Belvoir;60;0
25608;Le Vernoy;170;0
25609;Verrières-de-Joux;435;0
25611;La Vèze;443;0
25612;Vieilley;703;0
25613;Viéthorey;93;0
25614;Vieux-Charmont;2725;1
25615;Villars-lès-Blamont;448;0
25616;Villars-Saint-Georges;270;0
25617;Villars-sous-Dampjoux;362;1
25618;Villars-sous-Écot;354;0
25619;Les Villedieu;206;0
25620;Ville-du-Pont;304;0
25621;Villeneuve-d'Amont;240;0
25622;Villers-Buzon;255;0
25623;Villers-Chief;125;0
25624;Villers-Grélot;153;0
25625;Villers-la-Combe;51;0
25626;Villers-Saint-Martin;216;0
25627;Villers-sous-Chalamont;290;0
25628;Villers-sous-Montrond;211;0
25629;Voillans;208;0
25630;Voires;97;0
25631;Vorges-les-Pins;597;1
25632;Voujeaucourt;3248;3
25633;Vuillafans;748;0
25634;Vuillecin;647;0
25635;Vyt-lès-Belvoir;187;0
26001;Solaure en Diois;457;1
26002;Albon;1933;1
26003;Aleyrac;46;0
26004;Alixan;2497;1
26005;Allan;1706;1
26006;Allex;2495;3
26007;Ambonil;120;0
26008;Ancône;1329;1
26009;Andancette;1338;3
26010;Anneyron;3962;3
26011;Aouste-sur-Sye;2495;3
26012;Arnayon;26;1
26013;Arpavon;77;0
26014;Arthémonay;579;0
26015;Aubenasson;67;0
26016;Aubres;415;1
26017;Aucelon;15;0
26018;Aulan;11;0
26019;Aurel;242;0
26020;La Répara-Auriples;230;0
26021;Autichamp;119;0
26022;Ballons;83;0
26023;Barbières;1036;1
26024;Barcelonne;349;0
26025;Barnave;193;1
26026;Barret-de-Lioure;80;0
26027;Barsac;139;1
26028;Bathernay;249;0
26030;La Bâtie-des-Fonds;5;0
26031;La Bâtie-Rolland;1001;1
26032;La Baume-Cornillane;438;0
26033;La Baume-de-Transit;859;0
26034;La Baume-d'Hostun;567;0
26035;Beaufort-sur-Gervanne;468;1
26036;Beaumont-en-Diois;101;0
26037;Beaumont-lès-Valence;3670;3
26038;Beaumont-Monteux;1304;1
26039;Beauregard-Baret;831;0
26040;Beaurières;73;0
26041;Beausemblant;1434;1
26042;Beauvallon;1582;1
26043;Beauvoisin;147;0
26045;La Bégude-de-Mazenc;1670;3
26046;Bellecombe-Tarendol;80;0
26047;Bellegarde-en-Diois;83;0
26048;Bénivay-Ollon;62;0
26049;Bésayes;1204;1
26050;Bésignan;76;0
26051;Bézaudun-sur-Bîne;72;0
26052;Bonlieu-sur-Roubion;467;0
26054;Bouchet;1499;1
26055;Boulc;126;0
26056;Bourdeaux;639;2
26057;Bourg-de-Péage;10498;8
26058;Bourg-lès-Valence;20078;16
26059;Bouvante;238;0
26060;Bouvières;147;0
26061;Bren;557;0
26062;Brette;41;0
26063;Buis-les-Baronnies;2293;2
26064;Chabeuil;6880;4
26065;Chabrillan;706;1
26066;Le Chaffal;42;0
26067;Chalancon;49;0
26068;Le Chalon;211;0
26069;Chamaloc;131;0
26070;Chamaret;561;1
26071;Chanos-Curson;1075;1
26072;Chantemerle-les-Blés;1278;1
26073;Chantemerle-lès-Grignan;261;0
26074;La Chapelle-en-Vercors;699;2
26075;La Charce;35;0
26076;Charens;29;0
26077;Charmes-sur-l'Herbasse;934;0
26078;Charols;903;0
26079;Charpey;1367;1
26080;Chastel-Arnaud;38;0
26081;Châteaudouble;581;0
26082;Châteauneuf-de-Bordette;95;0
26083;Châteauneuf-de-Galaure;1792;3
26084;Châteauneuf-sur-Isère;3840;1
26085;Châteauneuf-du-Rhône;2732;1
26086;Châtillon-en-Diois;667;2
26087;Châtillon-Saint-Jean;1355;1
26088;Chatuzange-le-Goubet;5413;2
26089;Chaudebonne;53;0
26090;La Chaudière;24;0
26091;Chauvac-Laux-Montaux;43;0
26092;Chavannes;697;0
26093;Clansayes;522;0
26094;Claveyson;869;1
26095;Cléon-d'Andran;845;2
26096;Clérieux;2019;1
26097;Cliousclat;643;0
26098;Cobonne;163;0
26099;Colonzelle;552;0
26100;Combovin;409;0
26101;Comps;164;0
26102;Condillac;141;0
26103;Condorcet;480;1
26104;Cornillac;81;0
26105;Cornillon-sur-l'Oule;69;1
26106;La Coucourde;1055;1
26107;Crépol;561;1
26108;Crest;8380;7
26110;Crozes-Hermitage;651;1
26111;Crupies;98;0
26112;Curnier;172;0
26113;Die;4585;6
26114;Dieulefit;3121;4
26115;Divajeu;637;0
26116;Donzère;5739;3
26117;Échevis;48;0
26118;Épinouze;1558;0
26119;Érôme;818;2
26121;Espeluche;1039;1
26122;Espenel;167;0
26123;Establet;28;0
26124;Étoile-sur-Rhône;5412;2
26125;Eurre;1305;0
26126;Eygalayes;84;0
26127;Eygaliers;103;0
26128;Eygluy-Escoulin;65;0
26129;Eymeux;1032;0
26130;Eyroles;30;0
26131;Eyzahut;142;0
26133;Fay-le-Clos;166;0
26134;Félines-sur-Rimandoule;76;0
26135;Ferrassières;129;0
26136;Val-Maravel;57;0
26137;Francillon-sur-Roubion;192;0
26138;La Garde-Adhémar;1048;0
26139;Génissieux;2183;1
26140;Geyssans;721;0
26141;Gigors-et-Lozeron;178;0
26142;Glandage;113;1
26143;Le Grand-Serre;907;1
26144;Grane;1895;2
26145;Les Granges-Gontardes;632;1
26146;Grignan;1545;3
26147;Gumiane;20;0
26148;Hauterives;1900;3
26149;Hostun;975;0
26150;Izon-la-Bruisse;10;0
26152;Jonchères;29;0
26153;Laborel;104;0
26154;Lachau;228;0
26155;Lapeyrouse-Mornay;1217;1
26156;Larnage;1073;1
26157;La Laupie;774;1
26159;Laval-d'Aix;122;0
26160;Laveyron;1165;1
26161;Lemps;48;0
26162;Lens-Lestang;859;2
26163;Léoncel;52;0
26164;Lesches-en-Diois;50;0
26165;Livron-sur-Drôme;9098;7
26166;Loriol-sur-Drôme;6561;5
26167;Luc-en-Diois;489;1
26168;Lus-la-Croix-Haute;549;1
26169;Malataverne;1988;1
26170;Malissard;3192;2
26171;Manas;195;0
26172;Manthes;669;0
26173;Marches;789;1
26174;Margès;1133;1
26175;Marignac-en-Diois;208;0
26176;Marsanne;1333;1
26177;Marsaz;792;0
26178;Menglon;501;0
26179;Mercurol-Veaunes;2623;1
26180;Mérindol-les-Oliviers;229;0
26181;Mévouillon;241;0
26182;Mirabel-aux-Baronnies;1590;3
26183;Mirabel-et-Blacons;1058;2
26185;Mirmande;574;0
26186;Miscon;56;0
26188;Mollans-sur-Ouvèze;1060;2
26189;Montauban-sur-l'Ouvèze;109;0
26190;Montaulieu;83;0
26191;Montboucher-sur-Jabron;2273;1
26192;Montbrison-sur-Lez;286;0
26193;Montbrun-les-Bains;444;0
26194;Montchenu;581;0
26195;Montclar-sur-Gervanne;181;0
26196;Montéléger;1798;1
26197;Montélier;4077;4
26198;Montélimar;38692;41
26199;Montferrand-la-Fare;30;0
26200;Montfroc;75;0
26201;Montguers;43;0
26202;Montjoux;339;1
26203;Montjoyer;279;0
26204;Montlaur-en-Diois;149;0
26205;Montmaur-en-Diois;82;0
26206;Montmeyran;2877;2
26207;Montmiral;660;0
26208;Montoison;1912;1
26209;Montréal-les-Sources;24;0
26210;Valherbasse;1002;0
26211;Montségur-sur-Lauzon;1291;2
26212;Montvendre;1167;1
26213;Moras-en-Valloire;657;1
26214;Mornans;70;0
26215;La Motte-Chalancon;427;1
26216;La Motte-de-Galaure;790;1
26217;La Motte-Fanjas;190;0
26218;Mours-Saint-Eusèbe;3096;1
26219;Mureils;465;0
26220;Nyons;6742;9
26221;Omblèze;71;0
26222;Orcinas;38;0
26223;Oriol-en-Royans;536;1
26224;Ourches;247;0
26225;Parnans;699;0
26226;Le Pègue;362;1
26227;Pelonne;23;0
26228;Pennes-le-Sec;34;0
26229;La Penne-sur-l'Ouvèze;99;0
26231;Peyrins;2802;4
26232;Peyrus;605;0
26233;Piégon;269;0
26234;Piégros-la-Clastre;825;0
26235;Pierrelatte;13286;10
26236;Pierrelongue;220;0
26238;Les Pilles;246;2
26239;Plaisians;197;0
26240;Plan-de-Baix;145;0
26241;Le Poët-Célard;126;0
26242;Le Poët-en-Percip;17;0
26243;Le Poët-Laval;923;2
26244;Le Poët-Sigillat;119;0
26245;Pommerol;15;0
26246;Ponet-et-Saint-Auban;126;0
26247;Ponsas;521;0
26248;Pontaix;166;1
26249;Pont-de-Barret;671;2
26250;Pont-de-l'Isère;3415;2
26251;Portes-en-Valdaine;397;0
26252;Portes-lès-Valence;10445;8
26253;Poyols;69;0
26254;Pradelle;18;0
26255;Les Prés;23;0
26256;Propiac;124;0
26257;Puygiron;421;0
26258;Puy-Saint-Martin;881;1
26259;Ratières;270;0
26261;Réauville;383;0
26262;Recoubeau-Jansac;271;0
26263;Reilhanette;144;0
26264;Rémuzat;352;0
26266;Rimon-et-Savel;28;0
26267;Rioms;26;0
26268;Rochebaudin;121;0
26269;Rochebrune;63;0
26270;Rochechinard;115;0
26271;La Roche-de-Glun;3280;2
26272;Rochefort-en-Valdaine;352;0
26273;Rochefort-Samson;1000;0
26274;Rochefourchat;1;0
26275;Rochegude;1586;1
26276;Roche-Saint-Secret-Béconne;446;0
26277;La Roche-sur-Grane;174;0
26278;La Roche-sur-le-Buis;292;0
26279;La Rochette-du-Buis;78;0
26281;Romans-sur-Isère;33310;28
26282;Romeyer;198;0
26283;Rottier;21;0
26284;Roussas;365;0
26285;Rousset-les-Vignes;293;0
26286;Roussieux;23;0
26287;Roynac;484;0
26288;Sahune;315;1
26289;Saillans;1233;2
26290;Saint-Agnan-en-Vercors;387;1
26291;Saint-Andéol;80;0
26292;Saint-Auban-sur-l'Ouvèze;215;0
26293;Saint-Avit;302;0
26294;Saint-Bardoux;607;0
26295;Saint-Barthélemy-de-Vals;1884;1
26296;Saint-Benoit-en-Diois;26;0
26298;Saint-Christophe-et-le-Laris;411;1
26299;Sainte-Croix;107;0
26300;Saint-Dizier-en-Diois;48;1
26301;Saint-Donat-sur-l'Herbasse;4107;4
26302;Sainte-Eulalie-en-Royans;540;0
26303;Sainte-Euphémie-sur-Ouvèze;71;0
26304;Saint-Ferréol-Trente-Pas;248;0
26305;Saint-Gervais-sur-Roubion;1000;0
26306;Sainte-Jalle;304;1
26307;Saint-Jean-en-Royans;2918;4
26308;Saint-Julien-en-Quint;155;0
26309;Saint-Julien-en-Vercors;242;0
26310;Saint-Laurent-d'Onay;152;0
26311;Saint-Laurent-en-Royans;1391;1
26312;Saint-Marcel-lès-Sauzet;1247;0
26313;Saint-Marcel-lès-Valence;6201;6
26314;Saint-Martin-d'Août;382;0
26315;Saint-Martin-en-Vercors;371;1
26316;Saint-Martin-le-Colonel;190;0
26317;Saint-Maurice-sur-Eygues;771;1
26318;Saint-May;41;0
26319;Saint-Michel-sur-Savasse;574;1
26320;Saint-Nazaire-en-Royans;799;2
26321;Saint-Nazaire-le-Désert;190;0
26322;Saint-Pantaléon-les-Vignes;445;0
26323;Saint-Paul-lès-Romans;1822;1
26324;Saint-Paul-Trois-Châteaux;9026;7
26325;Saint-Rambert-d'Albon;6420;4
26326;Saint-Restitut;1373;1
26327;Saint-Roman;189;0
26328;Saint-Sauveur-en-Diois;55;0
26329;Saint-Sauveur-Gouvernet;183;0
26330;Saint-Sorlin-en-Valloire;2250;2
26331;Saint-Thomas-en-Royans;591;1
26332;Saint-Uze;2040;2
26333;Saint-Vallier;3896;5
26334;Salettes;148;0
26335;Salles-sous-Bois;187;0
26336;Saou;556;2
26337;Saulce-sur-Rhône;1850;4
26338;Sauzet;1846;3
26339;Savasse;1446;0
26340;Séderon;267;4
26341;Serves-sur-Rhône;743;0
26342;Solérieux;342;0
26343;Souspierre;97;0
26344;Soyans;381;0
26345;Suze-la-Rousse;2089;2
26346;Suze;234;0
26347;Tain-l'Hermitage;6194;9
26348;Taulignan;1697;2
26349;Tersanne;356;0
26350;Teyssières;86;0
26351;Les Tonils;21;0
26352;La Touche;250;0
26353;Les Tourrettes;1035;0
26355;Triors;551;0
26356;Truinas;122;0
26357;Tulette;1976;5
26358;Upie;1529;1
26359;Vachères-en-Quint;31;0
26360;Valaurie;593;1
26361;Valdrôme;146;0
26362;Valence;62477;50
26363;Valouse;34;0
26364;Vassieux-en-Vercors;322;1
26365;Vaunaveys-la-Rochette;588;0
26367;Venterol;705;1
26368;Vercheny;450;1
26369;Verclause;60;0
26370;Vercoiran;142;0
26371;Véronne;46;0
26372;Vers-sur-Méouge;44;0
26373;Vesc;272;0
26374;Villebois-les-Pins;19;0
26375;Villefranche-le-Château;22;0
26376;Villeperdrix;117;0
26377;Vinsobres;1165;1
26378;Volvent;34;0
26379;Granges-les-Beaumont;936;0
26380;Gervans;560;0
26381;Jaillans;894;1
26382;Saint-Vincent-la-Commanderie;527;0
27001;Aclou;322;0
27002;Acon;473;0
27003;Acquigny;1531;2
27004;Aigleville;404;0
27005;Ailly;1152;0
27006;Aizier;136;0
27008;Alizay;1515;1
27009;Ambenay;571;1
27010;Amécourt;164;0
27011;Amfreville-Saint-Amand;1208;1
27012;Amfreville-les-Champs;459;0
27013;Amfreville-sous-les-Monts;501;0
27014;Amfreville-sur-Iton;821;0
27015;Andé;1275;0
27016;Les Andelys;8098;8
27017;Angerville-la-Campagne;1302;0
27018;Appeville-Annebault;1024;1
27019;Armentières-sur-Avre;173;0
27020;Arnières-sur-Iton;1641;0
27021;Asnières;309;0
27022;Le Val d'Hazey;5538;3
27023;Aulnay-sur-Iton;710;0
27025;Autheuil-Authouillet;958;1
27026;Authevernes;397;0
27027;Les Authieux;298;0
27028;Authou;340;0
27031;Aviron;1103;0
27032;Chambois;1356;0
27033;Bacquepuis;317;0
27034;Bacqueville;618;0
27035;Bailleul-la-Vallée;120;0
27036;Bâlines;563;0
27037;Barc;1214;0
27038;Les Barils;260;0
27039;Barneville-sur-Seine;506;0
27040;Barquet;442;0
27042;Barville;64;0
27043;Les Baux-de-Breteuil;658;0
27044;Les Baux-Sainte-Croix;854;0
27045;Bazincourt-sur-Epte;757;0
27046;Bazoques;163;0
27047;Beaubray;320;0
27048;Beauficel-en-Lyons;190;0
27049;Mesnil-en-Ouche;4700;4
27050;Beaumontel;666;0
27051;Beaumont-le-Roger;2946;3
27052;Le Bec-Hellouin;404;0
27053;Le Bec-Thomas;220;0
27054;Bémécourt;556;0
27055;Bérengeville-la-Campagne;316;0
27056;Bernay;10392;11
27057;Bernienville;284;0
27059;Bernouville;298;0
27061;Berthouville;304;0
27062;Les Monts du Roumois;1561;0
27063;Berville-la-Campagne;243;0
27064;Berville-sur-Mer;707;0
27065;Beuzeville;4578;5
27066;Bézu-la-Forêt;307;0
27067;Bézu-Saint-Éloi;1491;1
27068;Bois-Anzeray;176;1
27069;Bois-Arnault;711;0
27070;Frenelles-en-Vexin;1688;0
27071;Le Bois-Hellain;231;0
27072;Bois-Jérôme-Saint-Ouen;748;0
27073;Bois-le-Roi;1165;1
27074;Boisney;285;0
27075;Bois-Normand-près-Lyre;339;0
27076;Boisset-les-Prévanches;460;0
27077;Boissey-le-Châtel;897;1
27078;La Boissière;273;0
27079;Boissy-Lamberville;342;0
27081;Boncourt;188;0
27082;La Bonneville-sur-Iton;2182;3
27083;Bonneville-Aptot;256;0
27085;Flancourt-Crescy-en-Roumois;1424;1
27089;Thénouville;1010;0
27090;Bosroumois;3565;1
27091;Bosgouet;685;0
27094;Bosquentin;128;0
27095;Bosrobert;658;0
27096;Les Bottereaux;354;0
27097;Bouafles;649;0
27098;Bouchevilliers;82;0
27099;Le Boulay-Morin;771;0
27100;Boulleville;1145;0
27101;Bouquelon;489;0
27102;Bouquetot;1080;0
27103;Bourg-Achard;3718;2
27104;Bourg-Beaudouin;714;0
27105;Grand Bourgtheroulde;3723;4
27106;Bournainville-Faverolles;485;0
27107;Bourneville-Sainte-Croix;1269;1
27108;Bourth;1295;1
27109;Bray;384;0
27110;Brestot;575;0
27111;Bretagnolles;198;0
27112;Breteuil;4495;4
27113;Brétigny;139;0
27114;Breuilpont;1227;0
27115;Breux-sur-Avre;345;0
27116;Brionne;4325;4
27117;Broglie;1076;5
27118;Brosville;627;2
27119;Bueil;1632;1
27120;Burey;398;0
27123;Caillouet-Orgeville;470;0
27124;Cailly-sur-Eure;221;0
27125;Calleville;673;0
27126;Campigny;1169;0
27127;Canappeville;667;0
27129;Caorches-Saint-Nicolas;585;0
27130;Capelle-les-Grands;433;0
27132;Caugé;853;0
27133;Caumont;1035;1
27134;Cauverville-en-Roumois;234;0
27135;Cesseville;488;0
27136;Chaignes;276;0
27137;Chaise-Dieu-du-Theil;227;0
27138;Chamblac;391;0
27139;Chambord;156;0
27140;Chambray;425;1
27141;Champ-Dolent;69;0
27142;Champenard;265;0
27144;Champigny-la-Futelaye;285;0
27146;La Chapelle-Bayvel;393;0
27147;La Chapelle-du-Bois-des-Faulx;622;0
27148;La Chapelle-Gauthier;404;0
27149;La Chapelle-Hareng;94;0
27151;Charleval;1803;2
27152;Château-sur-Epte;584;0
27153;Chauvincourt-Provemont;369;0
27154;Chavigny-Bailleul;587;0
27155;Chennebrun;110;1
27156;Chéronvilliers;521;0
27157;Marbois;1413;0
27158;Cierrey;730;0
27161;Claville;1084;1
27162;Collandres-Quincarnon;226;0
27163;Colletot;202;0
27164;Combon;821;0
27165;Conches-en-Ouche;5033;4
27167;Condé-sur-Risle;636;0
27168;Connelles;192;0
27169;Conteville;985;1
27170;Cormeilles;1158;2
27171;Le Cormier;407;0
27173;Corneville-la-Fouquetière;122;0
27174;Corneville-sur-Risle;1338;1
27176;Coudray;219;0
27177;Coudres;549;1
27179;Courbépine;732;0
27180;Courcelles-sur-Seine;2035;1
27181;Courdemanche;597;0
27182;Courteilles;147;0
27183;La Couture-Boussey;2322;1
27184;Crasville;127;0
27185;Crestot;556;0
27187;Criquebeuf-la-Campagne;304;0
27188;Criquebeuf-sur-Seine;1412;1
27189;La Croisille;445;0
27190;Croisy-sur-Eure;192;0
27191;Clef Vallée d'Eure;2519;2
27192;Crosville-la-Vieille;596;0
27193;Croth;1321;0
27194;Cuverville;246;0
27196;Les Damps;1361;0
27198;Mesnils-sur-Iton;6116;5
27199;Dangu;579;1
27200;Dardez;153;0
27201;Daubeuf-la-Campagne;232;0
27202;Daubeuf-près-Vatteville;472;0
27203;Douains;508;0
27204;Doudeauville-en-Vexin;302;0
27205;Douville-sur-Andelle;440;0
27206;Droisy;434;0
27207;Drucourt;603;0
27208;Duranville;154;0
27209;Écaquelon;618;0
27210;Écardenville-la-Campagne;472;2
27212;Écauville;112;0
27213;Vexin-sur-Epte;6121;3
27214;Écouis;822;1
27215;Ecquetot;381;0
27216;Émalleville;536;0
27217;Émanville;583;0
27218;Épaignes;1595;1
27219;Épégard;569;0
27220;Épieds;360;0
27222;Épreville-en-Lieuvin;201;0
27224;Épreville-près-le-Neubourg;478;0
27226;Étrépagny;3816;3
27227;Étréville;681;0
27228;Éturqueraye;291;0
27229;Évreux;48899;35
27230;Ézy-sur-Eure;3658;6
27231;Fains;423;0
27232;Farceaux;343;0
27233;Fatouville-Grestain;762;0
27234;Fauville;356;0
27235;Faverolles-la-Campagne;155;0
27237;Le Favril;172;0
27238;Ferrières-Haut-Clocher;1188;0
27239;Ferrières-Saint-Hilaire;417;0
27240;La Ferrière-sur-Risle;224;1
27241;Feuguerolles;178;0
27242;Le Fidelaire;1024;1
27243;Fiquefleur-Équainville;713;0
27245;Fleury-la-Forêt;266;0
27246;Fleury-sur-Andelle;1848;2
27247;Flipou;330;0
27248;Folleville;201;0
27249;Fontaine-Bellenger;1134;0
27251;Fontaine-l'Abbé;516;0
27252;Fontaine-la-Louvet;334;0
27254;Fontaine-sous-Jouy;887;0
27256;La Forêt-du-Parc;584;0
27258;Fort-Moville;488;0
27259;Foucrainville;73;0
27260;Foulbec;652;0
27261;Fouqueville;460;0
27263;Le Perrey;1235;0
27266;Franqueville;335;0
27267;Freneuse-sur-Risle;358;0
27269;Fresne-Cauverville;200;0
27271;Fresney;338;0
27273;Gadencourt;383;0
