Code;Libellé;Population municipale 2016;Boulangerie 2017
01257;Montanges;341;0
01258;Montceaux;1182;1
01259;Montcet;675;1
01260;Le Montellier;293;0
01261;Monthieux;648;0
01262;Montluel;7005;4
01263;Montmerle-sur-Saône;3811;2
01264;Montracol;1052;0
01265;Montréal-la-Cluse;3409;3
01266;Montrevel-en-Bresse;2463;3
01267;Nurieux-Volognat;1030;1
01268;Murs-et-Gélignieux;255;0
01269;Nantua;3482;2
01272;Neuville-les-Dames;1505;1
01273;Neuville-sur-Ain;1741;1
01274;Les Neyrolles;636;0
01275;Neyron;2507;1
01276;Niévroz;1577;0
01277;Nivollet-Montgriffon;118;0
01279;Oncieu;94;0
01280;Ordonnaz;146;0
01281;Ornex;4400;1
01282;Outriaz;261;0
01283;Oyonnax;22559;16
01284;Ozan;674;1
01285;Parcieux;1188;0
01286;Parves et Nattages;937;0
01288;Péron;2584;1
01289;Péronnas;6287;4
01290;Pérouges;1205;2
01291;Perrex;824;0
01293;Peyriat;164;0
01294;Peyrieu;862;0
01295;Peyzieux-sur-Saône;663;0
01296;Pirajoux;389;0
01297;Pizay;796;0
01298;Plagne;123;0
01299;Le Plantay;553;0
01301;Polliat;2504;2
01302;Pollieu;161;0
01303;Poncin;1696;2
01304;Pont-d'Ain;2914;3
01305;Pont-de-Vaux;2290;4
01306;Pont-de-Veyle;1618;4
01307;Port;855;0
01308;Pougny;815;0
01309;Pouillat;90;0
01310;Prémeyzel;247;0
01311;Prémillieu;46;0
01313;Prévessin-Moëns;7991;2
01314;Priay;1707;1
01317;Ramasse;321;0
01318;Rancé;727;0
01319;Relevant;463;0
01320;Replonges;3702;2
01321;Revonnas;921;0
01322;Reyrieux;4670;2
01323;Reyssouze;975;1
01325;Rignieux-le-Franc;976;0
01328;Romans;594;0
01329;Rossillon;153;0
01330;Ruffieu;184;0
01331;Saint-Alban;179;0
01332;Saint-André-de-Bâgé;742;0
01333;Saint-André-de-Corcy;3241;4
01334;Saint-André-d'Huiriat;602;0
01335;Saint-André-le-Bouchoux;384;0
01336;Saint-André-sur-Vieux-Jonc;1126;2
01337;Saint-Bénigne;1254;0
01338;Groslée-Saint-Benoit;1193;0
01339;Saint-Bernard;1434;1
01342;Sainte-Croix;566;0
01343;Saint-Cyr-sur-Menthon;1761;2
01344;Saint-Denis-lès-Bourg;5667;1
01345;Saint-Denis-en-Bugey;2293;1
01346;Saint-Didier-d'Aussiat;879;1
01347;Saint-Didier-de-Formans;1944;0
01348;Saint-Didier-sur-Chalaronne;2832;2
01349;Saint-Éloi;453;0
01350;Saint-Étienne-du-Bois;2490;3
01351;Saint-Étienne-sur-Chalaronne;1546;1
01352;Saint-Étienne-sur-Reyssouze;568;0
01353;Sainte-Euphémie;1657;1
01354;Saint-Genis-Pouilly;11892;2
01355;Saint-Genis-sur-Menthon;472;0
01356;Saint-Georges-sur-Renon;219;0
01357;Saint-Germain-de-Joux;507;0
01358;Saint-Germain-les-Paroisses;434;0
01359;Saint-Germain-sur-Renon;235;0
01360;Saint-Jean-de-Gonville;1720;1
01361;Saint-Jean-de-Niost;1427;0
01362;Saint-Jean-de-Thurigneux;773;0
01363;Saint-Jean-le-Vieux;1699;2
01364;Saint-Jean-sur-Reyssouze;737;1
01365;Saint-Jean-sur-Veyle;1122;1
01366;Sainte-Julie;999;0
01367;Saint-Julien-sur-Reyssouze;698;1
01368;Saint-Julien-sur-Veyle;798;0
01369;Saint-Just;917;0
01370;Saint-Laurent-sur-Saône;1754;1
01371;Saint-Marcel;1303;1
01372;Saint-Martin-de-Bavel;438;0
01373;Saint-Martin-du-Frêne;1063;1
01374;Saint-Martin-du-Mont;1807;1
01375;Saint-Martin-le-Châtel;790;2
01376;Saint-Maurice-de-Beynost;3965;4
01378;Saint-Maurice-de-Gourdans;2537;1
01379;Saint-Maurice-de-Rémens;752;1
01380;Saint-Nizier-le-Bouchoux;683;1
01381;Saint-Nizier-le-Désert;914;0
01382;Sainte-Olive;284;0
01383;Saint-Paul-de-Varax;1502;1
01384;Saint-Rambert-en-Bugey;2310;2
01385;Saint-Rémy;999;0
01386;Saint-Sorlin-en-Bugey;1150;1
01387;Saint-Sulpice;247;0
01388;Saint-Trivier-de-Courtes;1095;2
01389;Saint-Trivier-sur-Moignans;1822;1
01390;Saint-Vulbas;1306;0
01391;Salavre;279;0
01392;Samognat;657;0
01393;Sandrans;526;0
01396;Sault-Brénaz;960;1
01397;Sauverny;1025;0
01398;Savigneux;1333;2
01399;Ségny;2016;2
01400;Seillonnaz;138;0
01401;Sergy;2045;1
01402;Sermoyer;678;1
01403;Serrières-de-Briord;1262;1
01404;Serrières-sur-Ain;131;0
01405;Servas;1241;1
