icao24;callsign;baro_altitude;heading;last_contact;latitude;longitude;on_ground;origin_country;squawk;time_position;velocity;vertical_rate
4952c7;TAP437K;;239.06;1583150065;48.7315;2.3586;True;Portugal;7647;1583150065;0;
393323;AFR89BE;297.18;340.31;1583150119;48.7241;2.3625;True;France;1000;1583150117;0.26;
ab5d52;DAL65;10363.2;304.21;1583150119;48.3643;4.6791;False;United States;2770;1583150119;235.15;0
4b16ba;SWR63Y;10972.8;312.88;1583150120;49.3068;3.3301;False;Switzerland;3007;1583150120;226.05;0
344417;IBE32PG;11590.02;17.75;1583150119;48.3924;1.2035;False;Spain;2322;1583150119;244.69;0
47a039;NAX91H;10363.2;11.21;1583150120;47.9418;1.1699;False;Norway;5531;1583150120;240.73;0
0a008f;DAH1000;350.52;265.51;1583150000;48.9962;2.6278;False;Algeria;6031;1583149929;72.24;-4.23
49410b;NJE592P;10058.4;188.58;1583150120;49.2536;2.9141;False;Portugal;7114;1583150120;193.02;-0.33
440096;EZY65RX;11170.92;324.88;1583150120;49.7048;2.0847;False;Austria;5526;1583150120;228.93;-5.2
440095;EJU73XL;2918.46;310.67;1583150120;48.7432;3.4263;False;Austria;1000;1583150120;144.46;-2.28
3991e1;AFR68NR;3566.16;91.4;1583150120;49.1052;2.5741;False;France;1000;1583150120;189.89;10.08
3991e8;AFR63SR;9989.82;222.1;1583150119;48.3396;0.3584;False;France;7633;1583150119;208.71;11.05
3991e7;AFR158Z;6339.84;144.03;1583150120;49.7503;1.2487;False;France;6332;1583150119;197.06;-4.23
3944e4;AFR32FU;297.18;36.56;1583150118;48.7301;2.3556;True;France;1000;1583150116;0;
3944f0;AFR31XN;4922.52;176.25;1583150120;48.3379;2.1937;False;France;1000;1583150120;180.96;16.58
3944f7;AFR7570;3078.48;156.17;1583150119;48.5066;2.2611;False;France;1000;1583150119;164.22;8.45
49524a;BAF634;9144;18.04;1583150119;49.067;1.456;False;Portugal;1000;1583150119;237.52;0.33
345692;IBE34EC;1074.42;238.7;1583150120;48.7083;2.2862;False;Spain;7646;1583150120;75.26;13
020127;MAC122D;10668;193.01;1583150119;48.2205;2.248;False;Morocco;2103;1583150119;223.87;0
4ca8d4;RYR73GJ;11277.6;204.65;1583150120;49.2008;2.8603;False;Ireland;3521;1583150119;220.76;0
4ca94d;IBK6096;10972.8;43.1;1583150119;49.565;2.0224;False;Ireland;2351;1583150119;241.67;0
4005c0;BAW132;12192;308.98;1583150120;49.6607;2.8477;False;United Kingdom;7511;1583150120;242.88;0
3c0c0c;AHO635V;1127.76;246.73;1583150120;48.9502;2.3741;False;Germany;0645;1583150120;104.16;15.93
02a18c;TAR634;;70.31;1583150120;48.7249;2.3659;True;Tunisia;1000;1583150120;1.54;
02a196;TAR716;4754.88;326.26;1583150119;48.0002;3.4071;False;Tunisia;1000;1583150119;180.63;-10.4
40655b;EXS1310;11567.16;303.96;1583150120;48.2862;4.8617;False;United Kingdom;7520;1583150119;214.59;0.33
400efd;EZY85YT;11277.6;163.81;1583150119;48.357;0.672;False;United Kingdom;7702;1583150119;232.49;-0.33
501d20;CTN71F;5067.3;96.18;1583150120;48.857;2.9193;False;Croatia;5633;1583150120;219.92;13
4b7f43;SUI576;11887.2;141.51;1583150120;48.795;2.4623;False;Switzerland;2152;1583150120;247.14;0.33
4076da;EXS81T;10355.58;332.43;1583150120;48.6623;3.4259;False;United Kingdom;5736;1583150119;222.28;0
478353;SAS837;6880.86;203.67;1583150120;49.8263;3.8847;False;Norway;3525;1583150120;181.99;-14.63
3c48f1;EWG9407;1744.98;275.52;1583150119;49.0173;2.4369;False;Germany;1000;1583150118;90.96;11.7
44ccd4;BEL245W;10668;225.44;1583150120;48.0002;0.4951;False;Belgium;7101;1583150120;235.36;0.33
4ca700;RYR7LP;11010.9;226.42;1583150120;48.9557;2.2174;False;Ireland;7104;1583150120;220.87;5.85
405f13;EZY83RL;11262.36;163.81;1583150119;49.8393;0.049;False;United Kingdom;5642;1583150119;232.49;0
39a419;CRL918;8831.58;284.46;1583150119;49.0257;-0.6004;False;France;5631;1583150119;236.95;5.2
3b770d;CTM0014;2133.6;34.21;1583150120;48.3567;1.6886;False;France;4340;1583150120;141.83;-0.33
