icao24;callsign;baro_altitude;heading;last_contact;latitude;longitude;on_ground;origin_country;squawk;time_position;velocity;vertical_rate
4952c7;TAP437K;;239.06;1583150149;48.7315;2.3586;True;Portugal;7647;1583150149;0;
393323;AFR89BE;;357.19;1583150277;48.7294;2.3537;True;France;1000;1583150274;8.23;
ab5d52;DAL65;10363.2;320.75;1583150279;48.6038;4.3125;False;United States;2770;1583150279;243.13;0
4b16ba;SWR63Y;10972.8;312.49;1583150280;49.5252;2.9661;False;Switzerland;3007;1583150279;224.66;0
344417;IBE32PG;11582.4;38.57;1583150279;48.7067;1.4332;False;Spain;2322;1583150279;250.03;0
47a039;NAX91H;10363.2;11.38;1583150279;48.2797;1.272;False;Norway;5531;1583150279;239.82;0
49410b;NJE592P;10058.4;188.49;1583150280;48.9788;2.8514;False;Portugal;7114;1583150280;195.06;0.33
440095;EJU73XL;2286;310.93;1583150280;48.8764;3.1954;False;Austria;1000;1583150280;138.22;-8.78
484442;KLM15P;5913.12;201.11;1583150279;49.7785;3.8272;False;Kingdom of the Netherlands;1000;1583150279;167.09;-10.08
3991e1;AFR68NR;6065.52;91.63;1583150280;49.0982;2.9956;False;France;1000;1583150279;198.66;14.63
3991e8;AFR63SR;10645.14;221.7;1583150279;48.1125;0.0536;False;France;7633;1583150279;214.98;2.93
3991e7;AFR158Z;5212.08;144.2;1583150280;49.523;1.5025;False;France;6332;1583150279;193.46;-11.05
4006eb;EXS53F;7040.88;143.49;1583150279;49.7002;1.2979;False;United Kingdom;7572;1583150279;179.85;-12.35
3944e4;AFR32FU;297.18;36.56;1583150277;48.7301;2.3556;True;France;1000;1583150272;0;
3944f0;AFR31XN;7200.9;168.07;1583150279;48.0784;2.2373;False;France;1000;1583150279;186.66;14.63
3944f7;AFR7570;5494.02;161.04;1583150279;48.2684;2.395;False;France;1000;1583150279;177.33;12.35
49524a;BAF634;9151.62;43.79;1583150279;49.3641;1.7026;False;Portugal;1000;1583150279;240.87;0
345692;IBE34EC;3322.32;197.02;1583150280;48.584;2.1344;False;Spain;7646;1583150279;151.18;11.05
020108;MAC112N;9296.4;205.61;1583150280;49.8802;3.3784;False;Morocco;7105;1583150280;193.97;4.23
020127;MAC122D;10668;192.96;1583150280;47.9053;2.1401;False;Morocco;2103;1583150280;224.88;0
4ca8d4;RYR73GJ;11277.6;204.26;1583150280;48.9109;2.659;False;Ireland;3521;1583150279;222.88;0
4ca94d;IBK6096;10972.8;42.95;1583150279;49.8196;2.3889;False;Ireland;2351;1583150279;243.88;0
4005c0;BAW132;12192;308.77;1583150279;49.8785;2.4304;False;United Kingdom;7511;1583150279;241.51;0
3c0c0c;AHO635V;2964.18;19.9;1583150280;49.0814;2.3109;False;Germany;0645;1583150279;146.62;6.5
02a18c;TAR634;;70.31;1583150278;48.728;2.3775;True;Tunisia;1000;1583150278;7.72;
02a196;TAR716;3642.36;320.42;1583150279;48.2015;3.2058;False;Tunisia;1000;1583150279;150.18;-5.85
40655b;EXS1310;11567.16;315.19;1583150279;48.4858;4.5081;False;United Kingdom;7520;1583150279;217.53;0
400efd;EZY85YT;11277.6;164.21;1583150279;48.0374;0.8089;False;United Kingdom;7702;1583150279;232.56;0
501d20;CTN71F;6507.48;111.09;1583150280;48.7655;3.3822;False;Croatia;5633;1583150280;231.58;9.1
4b7f43;SUI576;11887.2;109.21;1583150280;48.5622;2.8541;False;Switzerland;2152;1583150280;251.69;0
4076da;EXS81T;10363.2;332.19;1583150280;48.944;3.2026;False;United Kingdom;5736;1583150279;221.61;0
478353;SAS837;4709.16;203.69;1583150280;49.5919;3.7269;False;Norway;3525;1583150280;174.15;-13.33
3c48f1;EWG9407;3589.02;93.65;1583150279;49.1267;2.5661;False;Germany;1000;1583150279;177.84;8.78
4ca700;RYR7LP;11856.72;226.24;1583150279;48.7389;1.8738;False;Ireland;7104;1583150279;217.95;4.23
405f13;EZY83RL;11285.22;164.16;1583150279;49.5178;0.1905;False;United Kingdom;5245;1583150279;233.69;0.33
3b770d;CTM0014;1889.76;75.57;1583150280;48.4209;1.9755;False;France;4340;1583150280;146.61;-3.58
a13f5e;N18LS;10058.4;138.85;1583150279;49.1722;1.6612;False;United States;5257;1583150279;243.91;0
3950c0;AFR99PK;4015.74;19.56;1583150279;49.2789;2.4557;False;France;1000;1583150279;190.54;12.68
3950cc;AFR42AA;10287;156.75;1583150279;48.013;2.8224;False;France;7644;1583150279;222.85;10.08
3950cf;AFR31RR;1424.94;311.27;1583150280;48.9826;3.0101;False;France;1000;1583150279;128.68;0
4ca54d;IBK7MA;11277.6;205.62;1583150280;48.7166;2.5466;False;Ireland;0764;1583150280;223.65;0
4ca56b;RYR5PG;11582.4;352.27;1583150279;48.1917;-0.8196;False;Ireland;5516;1583150279;229.47;0
4074b8;EZY91JC;11292.84;143.06;1583150279;49.289;1.6918;False;United Kingdom;2204;1583150278;236.23;-0.33
484aa1;TRA3P;11277.6;208.35;1583150279;49.0773;2.6906;False;Kingdom of the Netherlands;2143;1583150279;220.97;-0.98
3964e2;TVF3431;3215.64;61.4;1583150279;48.5865;2.4002;False;France;1000;1583150279;155.85;-11.38
48520b;TRA71A;11582.4;30.72;1583150280;49.0004;1.5333;False;Kingdom of the Netherlands;1000;1583150279;244.74;0
4b1a1b;EZS48AB;10363.2;324.26;1583150279;48.4836;3.4636;False;Switzerland;5752;1583150279;223.72;0
400dad;EZY18CF;11590.02;316.72;1583150280;49.4114;2.6467;False;United Kingdom;5773;1583150279;218.36;0
0101de;MSR799;2964.18;329.83;1583150280;48.8165;3.3848;False;Egypt;1000;1583150280;146.38;-5.2
4ca2a8;RYR22CP;10668;221.69;1583150279;48.7988;3.0113;False;Ireland;4135;1583150279;214.25;0
4ca301;RYR11EY;10972.8;350.31;1583150279;48.0025;-0.6908;False;Ireland;2313;1583150277;217.1;0
780561;CES554;4244.34;32.32;1583150279;48.9636;2.5464;False;China;5641;1583150279;178.97;12.35
406cab;EXS4WZ;10972.8;349.07;1583150280;48.3222;-0.7356;False;United Kingdom;1050;1583150279;230.54;0
3420ce;IBE34KG;10980.42;32.35;1583150279;49.87;2.7451;False;Spain;2321;1583150279;255.75;-0.33
3420cb;IBE31FT;11277.6;223.1;1583150280;49.8746;4.0139;False;Spain;4134;1583150279;219.84;0
39ceae;TVF3474;;343.12;1583150279;48.7253;2.3557;True;France;7654;1583150279;3.86;
3985a7;AFR63MK;5189.22;327.43;1583150279;47.9448;3.3982;False;France;1000;1583150279;182.52;-4.55
40609a;CFE29D;11277.6;140.81;1583150279;49.3641;1.3146;False;United Kingdom;2703;1583150279;244.25;-0.33
485a32;KLM20H;11582.4;30.85;1583150279;49.8736;2.3679;False;Kingdom of the Netherlands;1000;1583150279;255.86;-0.33
c0583a;ACA835;10972.8;328.16;1583150279;48.3229;3.9786;False;Canada;5726;1583150279;247.68;-0.33
3986eb;AFR48BJ;5966.46;95.47;1583150279;48.8435;3.0567;False;France;5642;1583150279;194.32;7.15
300586;SNM571;12192;319.3;1583150280;49.7192;2.4589;False;Italy;5767;1583150280;237.48;0.33
39c415;AFR773G;7277.1;252.83;1583150279;48.809;1.251;False;France;3302;1583150279;162.07;10.73
39bd20;AFR179;3596.64;93.91;1583150279;49.2858;1.8829;False;France;6305;1583150279;203.68;-1.3
39aa20;FHKRA;3108.96;34.79;1583150279;47.9857;1.3029;False;France;3304;1583150279;133.43;-3.58
39b10b;FWI10A;1577.34;236.93;1583150279;48.6726;2.203;False;France;0641;1583150279;105.59;6.18
48c120;RYR89DD;2011.68;243.43;1583150279;49.493;2.7712;False;Poland;1000;1583150279;131.14;-2.6
440488;EJU81NB;11582.4;319.57;1583150280;49.0709;3.7747;False;Austria;2754;1583150280;218.96;0
300189;AFR382V;1104.9;263.8;1583150279;48.9929;2.498;False;Italy;1000;1583150279;114.36;9.75
4d2072;LWG391;11887.2;211.45;1583150279;48.8336;2.7678;False;Malta;4103;1583150279;145.93;0
39856c;AFR11DD;2240.28;265.69;1583150280;48.9846;2.3477;False;France;5646;1583150279;130.01;14.96
3445d2;IBS3723;10675.62;213.92;1583150279;49.4357;3.0557;False;Spain;2127;1583150279;217.59;-0.33
4b17e0;SWR45C;8534.4;322.11;1583150279;48.8842;3.8511;False;Switzerland;3077;1583150279;237.92;0
4b17e1;SWR49A;8534.4;323.37;1583150279;48.0152;3.9556;False;Switzerland;5711;1583150279;250.02;-0.33
