icao24;callsign;baro_altitude;heading;last_contact;latitude;longitude;on_ground;origin_country;squawk;time_position;velocity;vertical_rate
4952c7;TAP437K;;354.38;1583150409;48.7312;2.3559;True;Portugal;7647;1583150408;5.92;
393323;AFR89BE;;171.56;1583150437;48.7311;2.3598;True;France;1000;1583150435;0.26;
ab5d52;DAL65;10363.2;320.52;1583150459;48.9063;3.9371;False;United States;2770;1583150459;241.94;0
4b16ba;SWR63Y;10972.8;312.2;1583150460;49.7691;2.5541;False;Switzerland;3007;1583150459;223.62;0
344417;IBE32PG;11574.78;38.72;1583150460;49.0226;1.815;False;Spain;2322;1583150460;249.22;0.33
47a039;NAX91H;10363.2;11.45;1583150459;48.6611;1.3886;False;Norway;5531;1583150459;240.93;-0.33
49410b;NJE592P;10058.4;188.43;1583150460;48.6653;2.781;False;Portugal;7114;1583150460;196.58;0.33
44b430;OOMAP;9464.04;141.49;1583150460;49.7588;1.079;False;Belgium;2211;1583150459;209.05;-0.33
440095;EJU73XL;1348.74;310.63;1583150460;49.006;2.9695;False;Austria;1000;1583150460;105.07;-0.33
484442;KLM15P;4206.24;201.09;1583150459;49.5335;3.6814;False;Kingdom of the Netherlands;1000;1583150459;161.55;-9.1
3991e3;AFR37PH;708.66;264.74;1583150459;48.995;2.5438;False;France;7637;1583150459;78.53;15.61
3991e1;AFR68NR;7749.54;75.45;1583150460;49.1544;3.5193;False;France;1000;1583150460;237.57;3.9
3991e7;AFR158Z;3634.74;100.32;1583150459;49.2894;1.8002;False;France;6332;1583150459;192.43;-0.65
4006eb;EXS53F;5021.58;143.76;1583150460;49.4684;1.5599;False;United Kingdom;7572;1583150460;179.24;-12.68
4951d3;TAP756;10965.18;37.58;1583150459;48.0964;0.1683;False;Portugal;2352;1583150458;242.12;0
3944e4;AFR32FU;;241.88;1583150459;48.7324;2.352;True;France;1000;1583150459;19.03;
3944f7;AFR7570;7688.58;162.52;1583150460;47.9875;2.5332;False;France;1000;1583150458;184.99;10.08
3944ee;AFR113M;7330.44;319.57;1583150459;48.0828;4.3216;False;France;1000;1583150459;205.45;-11.38
49524a;BAF634;8862.06;44.06;1583150460;49.6468;2.1196;False;Portugal;1000;1583150460;244.85;-4.88
345692;IBE34EC;6172.2;196.77;1583150459;48.3197;2.0151;False;Spain;7646;1583150459;167.63;13
020108;MAC112N;10134.6;205.43;1583150459;49.5841;3.1599;False;Morocco;7105;1583150459;209.63;1.95
490d07;NJE996Q;12192;331.72;1583150459;48.2099;3.5105;False;Portugal;6754;1583150459;237.77;0
4ca8d4;RYR73GJ;11277.6;204.22;1583150459;48.582;2.4336;False;Ireland;3521;1583150459;224.5;0
3c0c0c;AHO635V;3573.78;98.32;1583150459;49.1782;2.6589;False;Germany;0645;1583150459;195.49;5.53
02a18c;TAR634;;33.75;1583150282;48.7282;2.3778;True;Tunisia;1000;1583150282;7.72;
