icao24;callsign;baro_altitude;heading;last_contact;latitude;longitude;on_ground;origin_country;squawk;time_position;velocity;vertical_rate
39ceae;TVF3474;3657.6;267.37;1583151079;48.6258;1.448;False;France;7654;1583151079;168.4;0
3985a1;AFR31AK;3550.92;247.59;1583151080;48.9733;2.16;False;France;1000;1583151079;143.02;8.78
3985a7;AFR63MK;990.6;254.85;1583151079;48.7565;2.5608;False;France;1000;1583151079;102.33;-4.88
3949e4;AFR926;4465.32;172.18;1583151080;48.7237;2.0943;False;France;5630;1583151079;177.59;4.88
4d21fc;RYR92SU;11582.4;57.04;1583151079;48.8653;2.8437;False;Malta;2324;1583151079;247.71;0
4d21db;AMC101;11902.44;143.53;1583151079;48.8229;1.91;False;Malta;5256;1583151079;247.56;0
406c71;EZY23BK;3352.8;138.01;1583151079;49.3166;1.5573;False;United Kingdom;6343;1583151079;186.87;-0.33
40609a;CFE29D;11277.6;156.64;1583151079;47.9682;2.8386;False;United Kingdom;2703;1583151079;238.72;0
485a34;KLM1695;11277.6;224.52;1583151079;49.7955;3.074;False;Kingdom of the Netherlands;2106;1583151079;215.72;0
4d226c;RYR1RD;12496.8;135;1583151079;49.5252;1.3;False;Malta;2156;1583151079;246.63;0.33
c0583a;ACA835;10972.8;325.4;1583151080;49.7815;2.4799;False;Canada;5726;1583151079;243.73;0
3986eb;AFR48BJ;7620;124.03;1583151079;48.3248;5.085;False;France;5642;1583151079;194.91;0.33
493284;NJE609D;4145.28;204.38;1583151079;48.8351;2.1175;False;Portugal;7655;1583151079;157.02;22.76
39c415;AFR773G;8839.2;251.48;1583151079;48.3764;-0.7907;False;France;3302;1583151079;213.76;0.65
39bd20;AFR179;1165.86;265.45;1583151080;49.006;2.8147;False;France;6305;1583151080;90.83;-4.55
39aa20;FHKRA;1455.42;9.51;1583151079;48.5679;2.3302;False;France;3304;1583151079;109.02;-4.23
39b10b;FWI10A;8206.74;240.96;1583151078;48.4451;0.3323;False;France;0641;1583151078;223.6;2.6
39c424;AFR641;6355.08;53.53;1583151079;48.3483;1.0403;False;France;1000;1583151079;220.7;-9.43
4d2148;ULC34;3147.06;207.43;1583151079;49.2414;3.6611;False;Malta;1000;1583151079;137.37;-9.1
342091;IBE32CL;10652.76;199.94;1583151080;49.0638;2.7179;False;Spain;7151;1583151080;217.25;0
344696;VLG22MM;5494.02;55.04;1583151080;48.5489;1.4501;False;Spain;1000;1583151079;200.23;-10.08
39856c;AFR11DD;7010.4;73.35;1583151079;49.2211;4.2261;False;France;5646;1583151079;224.45;0
407182;EXS55PY;10972.8;323.41;1583151079;48.2701;3.6727;False;United Kingdom;5740;1583151079;228.72;0
407181;EXS13X;11887.2;143.57;1583151080;48.5609;2.3168;False;United Kingdom;1171;1583151079;241.69;0.33
3445d2;IBS3723;10675.62;199.18;1583151079;47.9901;2.0883;False;Spain;2127;1583151079;223.87;0.33
4b17e1;SWR49A;8534.4;331.72;1583151079;49.5709;2.7035;False;Switzerland;5711;1583151079;238.92;-0.33
4b1900;EDW37;11887.2;80.21;1583151080;48.1351;0.2467;False;Switzerland;2356;1583151080;266.24;0
